Resume_Rank,Resume_Index,Resume_ID,Resume_Category,Job_Index,Job_ID,Job_Title,Company,Final_Score,Skills_Matched,Explanation
1,0,16852973,HR,12530,3887599959,Senior Catering Sales Manager OEM - Salary up to $100K,Aimbridge Hospitality,0.9305,"['c', 'go', 'r']","Match Score: 93% | Skills: c, go, r | Resume Edu: 2 | Job Edu Req: 1 | Resume Exp: senior | Job Exp Req: senior"
2,0,16852973,HR,82488,3903891087,Sales Manager OEM,Aimbridge Hospitality,0.929,"['c', 'go', 'r']","Match Score: 92% | Skills: c, go, r | Resume Edu: 2 | Job Edu Req: 1 | Resume Exp: senior | Job Exp Req: senior"
3,0,16852973,HR,93451,3904716830,Sales Manager OEM,Aimbridge Hospitality,0.929,"['c', 'go', 'r']","Match Score: 92% | Skills: c, go, r | Resume Edu: 2 | Job Edu Req: 1 | Resume Exp: senior | Job Exp Req: senior"
4,0,16852973,HR,24849,3891069823,Human Resources Director,LHH,0.9281,"['aws', 'c', 'r']","Match Score: 92% | Skills: aws, c, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
5,0,16852973,HR,68730,3902784942,Banquet Captain ,Alila Hotels,0.9266,"['c', 'r']","Match Score: 92% | Skills: c, r | Resume Edu: 2 | Job Edu Req: 1 | Resume Exp: senior | Job Exp Req: senior"
1,1,22323967,HR,48502,3901347920,HR Business Partner,Tecan,0.9436,"['c', 'go', 'r']","Match Score: 94% | Skills: c, go, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
2,1,22323967,HR,123079,3906257222,Human Resources Information System Specialist,,0.9325,"['c', 'r']","Match Score: 93% | Skills: c, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
3,1,22323967,HR,52469,3901483670,Human Resources Administrative Assistant,Decca Recruiting ,0.9302,"['c', 'go', 'r']","Match Score: 93% | Skills: c, go, r | Resume Edu: 3 | Job Edu Req: 1 | Resume Exp: senior | Job Exp Req: senior"
4,1,22323967,HR,99766,3905202804,Human Resources Manager,Dana Incorporated,0.9301,"['c', 'go', 'r']","Match Score: 93% | Skills: c, go, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
5,1,22323967,HR,76039,3903466261,Las Cruces Staff Manager,New Mexico Dept. of Workforce Solutions,0.9283,"['c', 'go', 'r']","Match Score: 92% | Skills: c, go, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
1,2,33176873,HR,38275,3898157722,Human Resources Director,LHH,0.9437,"['c', 'r']","Match Score: 94% | Skills: c, r | Resume Edu: 3 | Job Edu Req: 3 | Resume Exp: senior | Job Exp Req: senior"
2,2,33176873,HR,48502,3901347920,HR Business Partner,Tecan,0.9356,"['c', 'go', 'r']","Match Score: 93% | Skills: c, go, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
3,2,33176873,HR,42624,3899539354,Senior Vice President Human Resources,Miller Resource Group,0.935,"['c', 'r']","Match Score: 93% | Skills: c, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
4,2,33176873,HR,116508,3905871298,Human Resources Manager,Platinum Recruiting Group,0.9348,"['c', 'excel', 'r']","Match Score: 93% | Skills: c, excel, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
5,2,33176873,HR,33112,3894997544,Director of Human Resources,,0.9335,"['c', 'excel', 'r']","Match Score: 93% | Skills: c, excel, r | Resume Edu: 3 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
1,3,27018550,HR,3865,3884857393,Work From Home Customer Service,,0.8689,"['c', 'excel', 'r']","Match Score: 86% | Skills: c, excel, r | Resume Edu: 0 | Job Edu Req: 0 | Resume Exp: entry | Job Exp Req: entry"
2,3,27018550,HR,15701,3887918294,Customer Service Representative,AmerCareRoyal,0.8643,"['c', 'excel', 'r']","Match Score: 86% | Skills: c, excel, r | Resume Edu: 0 | Job Edu Req: 0 | Resume Exp: entry | Job Exp Req: entry"
3,3,27018550,HR,21189,3889417414,Customer Service ( Remote work ),Talentify.io,0.8632,"['c', 'excel', 'r']","Match Score: 86% | Skills: c, excel, r | Resume Edu: 0 | Job Edu Req: 0 | Resume Exp: entry | Job Exp Req: entry"
4,3,27018550,HR,21188,3889417413,Customer Service ( Remote work ),Talentify.io,0.8605,"['c', 'excel', 'r']","Match Score: 86% | Skills: c, excel, r | Resume Edu: 0 | Job Edu Req: 0 | Resume Exp: entry | Job Exp Req: entry"
5,3,27018550,HR,22261,3889709705,Customer Relations Coordinator,,0.8587,"['c', 'excel', 'r']","Match Score: 85% | Skills: c, excel, r | Resume Edu: 0 | Job Edu Req: 0 | Resume Exp: entry | Job Exp Req: entry"
1,4,17812897,HR,69939,3902831427,Human Resources Director,ET GLOBAL - USA,0.9521,"['aws', 'c', 'excel', 'r']","Match Score: 95% | Skills: aws, c, excel, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
2,4,17812897,HR,48502,3901347920,HR Business Partner,Tecan,0.9496,"['c', 'go', 'r']","Match Score: 94% | Skills: c, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
3,4,17812897,HR,82690,3904001279,Human Resources Generalist,Spectrum,0.9468,"['aws', 'c', 'llm', 'r']","Match Score: 94% | Skills: aws, c, llm, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
4,4,17812897,HR,72606,3902881293,Human Resources Manager,American Direct Marketing Resources,0.9461,"['c', 'go', 'llm', 'r']","Match Score: 94% | Skills: c, go, llm, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
5,4,17812897,HR,101613,3905251874,Human Resources Manager,,0.9446,"['c', 'excel', 'go', 'r']","Match Score: 94% | Skills: c, excel, go, r | Resume Edu: 2 | Job Edu Req: 2 | Resume Exp: senior | Job Exp Req: senior"
